L_LatVent,R_LatVent,L_thal,R_thal,L_caud,R_caud,L_put,R_put,L_pal,R_pal,L_hippo,R_hippo,L_amyg,R_amyg,L_accumb,R_accumb
15529,20638,7744,6917,3683,3882,4680,4962,1324,1364,3980,3486,1329,1338,507,442
6816,7053,5639,6888,3129,3066,4055,3433,1396,1024,4020,2796,1582,1610,433,354
5891,6222,6834,7126,3872,3454,5909,4710,1880,1166,4142,2896,1505,1283,479,495
5231,5869,8272,7863,4085,4077,6145,6411,1765,1712,4775,4458,1817,1679,517,650
17155,15360,7778,7172,3293,3274,4936,4923,1525,1571,4693,4528,1756,1660,585,609
3778,6345,8443,7949,3599,3872,6236,6501,1845,2114,5005,4367,1654,1834,604,791
4064,6860,7314,6786,2928,3091,4386,4424,1355,1440,4077,3211,1504,1351,496,497
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9664,11058,7789,7292,4085,3886,6549,6299,2065,2074,4391,4258,2056,2086,545,808
3290,4290,8723,8743,2865,2843,4770,4792,1310,1438,4615,4211,1408,1243,430,545
6281,7258,7540,7076,3703,3696,4048,4094,1571,1234,4003,3871,1482,1538,479,572
4270,6303,8235,8481,4039,3835,4602,4753,1568,1667,4509,4207,1318,1668,572,686
3491,5399,7554,7197,2680,2659,4913,4764,1639,1463,3617,3512,1462,1389,486,459
7468,9225,7827,8181,3442,3579,5490,5061,1585,1636,4437,4102,1719,1612,469,641
10933,9171,6878,6642,2932,2965,4306,4853,1653,1717,4112,4107,1315,1253,461,553
10498,5414,6876,7372,3259,3475,4215,4763,1449,1335,3963,4260,1678,1560,649,571
5988,8180,6902,6763,2920,3147,5348,5444,1593,1618,4017,4189,1709,1749,559,652
5040,4317,9143,9270,3310,3302,5514,5364,1350,1343,4544,4447,1388,1135,545,624
6610,7290,7107,6625,3536,3708,4830,5205,1494,2054,4083,3795,1379,1683,573,554
3683,5128,8656,8551,3613,3670,5297,5373,1521,1784,4684,4027,1838,1710,565,573
7228,7429,8463,8522,3177,3139,6146,6181,1509,2122,4524,4389,1448,1503,557,623
3511,7378,6275,6117,2935,3204,4548,4647,1498,1445,3949,3790,1368,1353,435,491
3084,3836,7809,7681,3458,3982,5066,5416,1741,1794,4108,4105,1573,1784,618,705
4800,8371,8578,8155,3203,3394,5476,5300,1642,1574,4760,4502,1863,1543,448,499
7873,5648,7832,7301,3462,3737,4654,5187,1404,1417,3401,3431,1426,1433,468,508
9899,10557,8485,7952,3377,3460,4721,4767,1546,2048,4464,4332,1769,1857,655,600
9644,7706,9254,8256,4184,4174,5873,5756,1909,1884,4291,4642,1724,1713,971,764
5147,4694,8125,7720,3894,3954,5142,5636,1858,1536,4632,4453,1740,1798,715,632
8746,9881,9443,8305,3773,3745,5324,5654,1730,1592,4532,4308,1744,1695,597,611
3457,4983,8864,8261,4901,5046,6890,7227,2067,1802,4951,4305,1723,1667,504,629
5112,4961,8234,7486,4077,4070,5811,6029,1915,1725,4613,4323,1795,1774,571,690
11038.3,12361.1,8235.6,8267.2,3477.1,3254,4387.3,4957.5,NA,1444.8,3013.5,4291.6,1310.5,1586,439.7,359.7
15473,12505,7129,8109,4457,4298,6149,5777,2174,1691,4253,3013,1967,1544,543,579
12790,11535,6739,8719,3592,3114,5242,5340,1757,1962,3063,3044,1402,1396,607,466
8269,6202,5127,8147,3930,4462,4030,3748,1334,1115,3597,4865,1471,1518,521,367
17333,16200,6556,8017,4221,4137,5170,5152,1912,1332,2807,4471,1354,1639,562,412
16807.7,10441,7612.9,7776.5,4068.2,3977.8,5826.1,5539.4,1678.8,1527.2,3769.6,5291.4,1237.3,1785.9,458.9,473.2
5793,5956,8767,8195,3978,3973,5568,5060,1755,1748,5273,5121,1745,1880,470,596
11537,11545,7364,6345,3711,3589,4767,4477,1341,1485,3893,3575,1256,1444,455,469
6251,4889,8479,8012,3177,3027,4498,4898,1594,1368,4247,3901,1341,1295,606,626
4586,6968,8780,7954,4188,4316,6381,6662,2002,1704,4103,3879,1943,1735,448,657
2536,2966,7111,7630,3567,3725,5554,5370,2092,1692,3552,4768,1449,1570,546,479
10886,14443,6609,6815,3267,3016,5053,4756,1623,1291,4615,3187,1826,1591,504,337
31161,24592,4126,6744,2321,2715,3529,3678,1117,1156,1983,3493,936,1195,519,338
11285.9,9954.6,10117.3,9236.2,5071.9,5261.9,5689.5,5742.2,2572.9,1978.7,4786.9,2758.4,1889.2,1433,873.5,796.8
6939,6944,6242,6201,3754,3572,4521,4194,1593,1459,2493,2712,1160,1448,451,492
4254.1,4038.5,6430.1,5937.8,3191.5,3045.2,4290.5,4498.4,1541.2,1390.3,3288.2,4518.8,1166.2,1641,556.9,511.8
4508,4243,8258,8216,4321,4394,6519,6137,2173,2137,4386,3296,1803,1870,582,683
5670,4603,5153,5812,3263,3335,3921,3820,1316,1139,2884,4235,1366,1665,359,344
3013,3408,7578,7688,3964,3929,5562,5336,2037,1694,4063,2658,1714,1465,595,631
24807,37921,8450,8168,2908,2981,4020,3957,1614,1312,5116,4553,1901,2110,518,470
6639,6530,10537,8959,4994,4922,6361,6343,1594,2009,5044,4552,2162,1954,746,797
4987,6754,7449,7182,3246,3482,4895,5009,1721,1684,4426,4077,1626,1527,446,454
7282,7095,9173,8593,4474,4274,6802,6268,2154,1793,4960,4435,2089,1933,727,609
3717,4169,7957,7956,3876,3780,5792,5683,1758,1717,4682,4260,1770,1545,577,593
11603,14334,10937,10007,5120,4941,6936,7083,2248,1907,5494,5107,2254,1935,559,850
7142.6,7122.5,7136.7,6290.8,3019.1,2696.8,3767.9,3864.1,994.9,1095.7,2586.3,4331.4,1502.2,1368.6,352.1,388.7
4653.6,6561.5,7141.1,6274.7,3420.7,3259.4,4416.8,4309.4,1500.5,1128.3,4734.6,3444,1828.8,1283.3,394.6,465.7
10837,12434,5761,7373,3310,3382,4265,3882,1485,1159,3505,4246,1378,1570,537,440
11411,12082,5335,5888,2737,2688,3692,3443,1205,1109,2539,3460,945,1234,354,372
11412,11526,7876,7873,4421,3799,4893,4588,1641,1397,4837,3587,1729,1627,457,420
24884,31677,7725,8851,3797,3541,4850,4319,1443,1040,3407,4629,1666,1803,433,332
14802.8,14509.4,9375.4,8893.8,5218.5,4570.4,5241.3,4741.3,1738.4,1490.6,3561.9,4764.5,1567.9,1789.6,450.7,417.3
14891,12228,6470,6839,4807,4588,4377,4369,1388,1399,3596,4945,1653,1697,318,499
23860,19760,6391,6902,3683,3669,4864,4427,1808,1511,4326,3129,1518,1571,648,488
3953,5216,5029,5579,2723,2784,3692,3613,1474,1269,1937,2592,1223,1194,362,312
8382,6026,6862,8062,3588,3412,5283,5298,1653,1393,4643,4832,1699,1648,632,606
17498.4,15852.7,6492.9,8433.6,3383.5,3633.3,4847.2,4750.8,1533.2,1607.6,3336,4577.2,1292.6,2052.2,257,308.3
2119.6,2645.4,8081,7412.7,2025.3,2216.9,5007.4,5200.3,1358.6,1204.6,4680.1,3433.6,2046.6,1437,551.3,505.3
4160,3554,8529,7768.3,3795.3,3519.7,5315.9,5314.8,1734.7,1433.9,3441.9,4723.7,1371.2,1558.1,461.6,500.9
8717,7044,8069,7897,3127,3026,4599,4244,1677,1474,4451,2708,1614,1590,434,466
17253,13884,7760,8761,4654,4566,6945,6441,2236,2082,5023,4912,2037,1865,794,613
2614,4182,8112,7529,3831,4052,5551,5246,2014,1737,3867,3816,1532,2263,557,512
9863,10541,7898,9185,4277,3900,5576,5296,2088,1700,2992,4501,1415,1616,563,573
4312,3634,7478,6865,3405,3397,4511,4345,1577,1415,2691,3916,1384,1542,507,446
31858.6,41326.9,7416.9,5758.1,3798.5,3932,4670.9,4253.5,1364,990.1,3477.4,2935.2,1734.3,2069.2,456.3,327.9
9202,8010,7261,7182,2637,3056,5129,4584,1685,1363,4368,4213,2200,2096,303,415
5091,4583,9119,7925,3798,3620,5977,5594,1815,1803,4326,4008,1553,1797,303,459
15127,14428,4604,5199,3269,3147,4179,3599,1365,1190,2555,2808,1273,1303,460,363
8238,8129,7231,8325,3824,3613,4614,4068,1184,1471,2874,4293,1318,1752,512,507
8933,7919,7370,8295,3767,3549,5557,5348,1964,1710,3949,5303,1909,1886,666,553
11185.5,14928.3,8260.7,7817.6,3379,2965.4,4808,4324.4,1517.6,1360.3,4001.7,3305.3,1338.2,1293.6,518.4,338.9
13971.4,11556,5800.8,6242,2890.8,2741.5,3981.3,3570.4,1352.4,1144.3,2189.1,3403.2,943.8,1072.3,306.5,308.7
1753,2148,8552,9390,4312,3999,5999,5855,1700,1582,3160,5186,1653,2214,613,457
12306,10929,6471,7029,3602,3424,4558,4451,1558,1431,2720,3949,1248,1471,450,496
12262,5910.7,8419.7,7319,4326.1,4125.2,5344.1,5222.7,2133.2,1708.9,4197.6,3313.3,1644,1331.7,464.8,574.5
39849,34735,6863,7760,5034,4115,5716,5436,2025,1448,2917,4097,1741,2457,502,412
8213,12020,6001,4570,2921,2402,3505,2596,1119,831,3658,2108,1295,1130,507,320
3306,4649,8807,9367,4600,4431,5482,5521,2278,1840,5252,5385,2009,1886,466,546
10139,6407,5372,6678,2842,2627,3990,4081,1490,1607,2537,4119,974,1545,503,394
8766,8554,6528,8304,4105,4097,5611,5719,2211,1746,3042,5491,1849,1741,477,457
10224,8370,7120,7787,3766,3658,4237,4367,1912,1433,2931,4445,887,1537,455,438
7470,9217,6512,6453,2762,3100,3861,4185,1532,1408,3579,3375,1300,1337,450,452
3637,3023,5896,6385,3606,3278,4134,4123,1422,1169,3075,3713,1038,1223,482,485
12505,10291,8492,9180,4419,4332,5949,5724,2017,1825,5438,4202,1966,1920,571,645
4561,4010,7939,6171,3526,3194,4652,4475,1692,1458,5046,3336,1689,1647,537,543
4301,4971,9000,8813,4048,3851,5453,5967,1859,1898,4780,4445,1709,1871,516,653
8258,8108,7621,7761,3438,3265,5565,4920,1803,1614,4032,5019,1720,1632,299,467
8524,13508,10065,8046,3707,3440,5550,5332,1496,1607,4473,3962,1734,1764,652,614
5585,4431,8408,9272,4040,3839,5405,5117,1948,1652,4752,4713,1945,1771,584,555
20798.6,17522.4,7867.8,7225.1,3915.7,3787,4796,4714.9,1290.9,1333.8,2968.6,4126.9,1478.6,1534,502.7,589.5
16261.8,13656.3,8068.5,7386.1,3802.2,3313.7,5610,4114.3,1409.6,1350.2,3662.4,4292,1521.8,1340.5,421,453.6
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44376,43403,10358,9373,4722,4478,5893,5821,1850,1812,3886,3805,1853,1984,627,504
9214,6598,6848,8127,3513,3456,5168,4919,1754,1254,3952,4979,1678,1640,597,443
5881,5313,6859,7598,4035,3914,6127,5465,1915,1548,3907,4908,1985,1865,561,499
5136,7069,8416,7547,3733,3734,5862,5615,1588,1578,4667,4214,1657,1814,494,526
4992,3753,7583,8247,3955,3845,5153,5275,1812,1667,4702,4291,1826,1772,619,423
6798,8754,7631,6892,3510,3498,4912,4580,1721,1423,4363,3116,1840,1738,481,393
2673,3205.3,7740.2,7612.4,3781.2,3303,5015.2,4933.3,1562.4,1324.3,3293.7,5001.3,1332.7,1490.5,415.9,464
8967,7162,6493,7159,4189,3866,5064,5161,1571,1469,3117,4448,1350,1788,438,487
10345.7,12528.6,8667.3,7303.4,4353.8,3422.3,4901.3,4604.3,1479.6,1445,5152.9,4197.4,1912.8,2112.5,704.9,590.9
7796,7102,5932,5812,3357,3160,3781,3585,1510,1171,3286,2363,1803,1210,435,357
5397,4885,7539,7249,3471,3339,4741,4411,1442,1472,4335,3098,1539,1360,506,521
8639,9598,5320,5519,2871,2842,3594,3810,1428,1272,2659,3487,1008,1323,489,409
8839.5,6894.8,6753.3,5855.1,3594.7,3320.8,4006.5,3703.7,1368.1,1194.1,2866.7,3339,1243.8,1266.6,379.6,326.3
9714,11893,7845,6619,3610,3136,4685,4168,1575,1283,3995,2655,1485,1177,409,380
14855,14740,4921,6223,2547,2822,4016,3493,1309,1161,1965,3419,985,1182,501,420
11082,8199,7120,7264,3478,3260,4478,4413,1732,1440,3441,4502,1667,1739,421,324
21541,14940,7920,9258,4391,4331,6156,5957,1885,1539,4177,4998,1847,2201,631,429
10631.4,10769.7,7314.1,6419.2,2798,2695.5,4010.2,3765.3,1571.2,1074.7,3784.4,2877.9,1281.8,1457.7,405.8,353.8
23647,19377,8226,9400,4310,4075,4969,5061,1986,1558,2869,4190,1322,1631,822,448
7363.1,4517.2,7358.7,7111,3853.4,3508.3,5054.8,5043.5,1520.2,1518,2775.2,3878.9,1011.7,1234.6,433.6,493.9
7529,10470,9085,9485,3581,3448,5542,5082,1800,1654,5545,4628,1868,1682,581,518
5304,4835,9249,9363,4082,3857,6311,6059,2219,2026,5556,5496,2183,2078,612,621
3620.7,4043.2,8288.3,7798.5,4569.5,3765.4,5033.6,4957.4,1650.8,1602.9,3296.4,5086,1583.7,1825.4,611.7,531.3
7953,5531,7011,6797,3548,3427,5032,4207,1593,1407,3470,2277,1307,1043,459,487
7088,7336,8295,7864,3334,3408,4654,4542,1604,1323,3464,4375,1320,1433,544,409
4554.7,5361.6,8635.5,7707.5,3943,3583.8,5198.1,4726.7,1652.7,1455.8,3579.8,4155.5,1415.3,1230.9,521.1,426.7
8506,10934,9654,8319,3783,3668,5178,4790,1578,1621,5008,3122,1654,1141,445,500
8540,8736,5328,5663,2424,2572,4267,4018,1420,1355,2775,3836,1293,1330,376,317
7825,12267.4,5832.9,6025,3155.6,3088,3613.5,3434.6,1210.1,986.1,2764.8,3669.5,1315.7,1301.7,354.8,256.5
18710,12329,8581,9296,4139,3950,5687,5619,1832,1561,3058,4585,1480,1613,471,599
9664.6,11061.7,7945.9,7165.3,3628.7,3597.1,5196.6,4599.9,1591.5,1381.2,3886.2,3136,1551.6,1746.5,434.8,440.5
11723,13494,9189,9918,4373,4314,6082,5662,2153,2031,4662,3589,1820,1923,625,505
13235.4,13194.7,6132.5,4793.9,3470.1,2905.3,4427.2,4067.8,1242,1081.3,3956.4,2608,1310.6,1086.4,446.2,465.8
13003,10946.2,7223.2,6283.4,3278.9,3364.1,4684.3,4348.6,1567.9,985.1,4319.9,3071.6,1201.4,1391.7,249.4,375.6
4161,4909,6046,5871,2855,2934,4092,3703,1456,1249,3586,2114,1103,1055,262,408
8516,10468,6626,6869,4322,4001,5411,5003,1670,1667,4254,4341,1481,1593,576,567
3142,3236,9794,9069,4498,4721,5676,5790,1654,1687,5098,3537,1770,1664,819,697
9384.8,16868.5,8348.1,7729.8,3468.9,3375.1,4179,3910.4,1484.4,1285.2,2815.1,3551.7,1519.2,1293.3,367.4,329.5
13668.7,14443.8,8628.2,7809.9,3964.4,3759.9,5985,6337.7,1842.9,1765.8,4552.1,4701.2,1818.2,1776.7,476.5,554.5
3004,3108,7125,6829,3167,2985,4817,4601,1668,1425,4377,2929,1572,1295,493,518
5466.5,6169.8,7901.2,7005,3440.6,3288.9,4989.8,4849.6,1478.9,1641.4,4085.2,4555.2,1331.8,1567.3,581.5,540.6
11013.3,10543.9,5457.2,5032,2672.9,2496.2,3690.2,3300.1,1169.1,1018.4,2324.4,3809.1,1045,1265.5,285,259.9
7436.2,6777.4,9383.2,8089,3740.2,3597.8,4703.8,4728.1,1414.3,1551.6,4500.5,4340.2,1661.3,1572.7,453.9,512.2
6662.5,4477.8,7665.3,6538.2,3792.5,3803.8,5686.8,5287,1087.1,1295,3561,3460.7,1572.8,1676.7,696.4,828.3
6661.4,4550.2,8730.7,8397.4,3228.3,3339,5215,5216.7,1279.3,1027.3,3848.3,4091.9,1437.4,1630.4,723.7,651.1
6723.1,9174,7684.5,7612.9,4578.2,4908.4,6326.3,6145.6,1615.8,1542.8,4669.8,4710.8,1975.3,1968.6,848.7,763.2
9393.9,9593.9,9005.8,8174.4,3818.5,3871.9,6543.3,6171.5,1539.1,1926.1,4660.6,4842.8,1885.5,2247.2,977.3,771.3
7016.1,5990.4,8700,7719.4,3751.5,3948.7,5910.8,5657.6,1646.8,1408.4,5118,5245.9,2173.2,2286.6,694.2,744.9
5113.6,6647.7,8109.4,7392.4,3114.2,3109.4,5272.1,5316.9,1345.5,1478.1,4208.2,4137.8,1177.3,1485.6,596.8,532.7
9719.6,8333.2,7925.7,7240,3664.5,4028.7,5575.2,5148.7,1474.3,1743.1,4027.6,3673.4,1238.6,1407.7,810.6,656.7
6418.8,6815.4,8163.6,7278.7,4165.1,4424.9,6646.8,6182.2,1645.8,1890.8,4355.5,4326.6,1681.5,1941.8,816.6,814.4
6497.2,8033.8,7302.1,6400.7,3689.7,3884.4,5555.4,5161.6,1383.5,1468.1,3786.6,3883.9,1351.7,1551.5,488.9,530.8
5478.3,5973.7,8120.2,7717,3595,3719.3,6054,5988.9,1780.3,1872.5,3913.7,4060.1,1818.5,1945.9,726.6,729
NA,NA,8198.5,6616.8,3870.6,4161.5,6121.3,5632,1555.2,1779,4144.9,4419.1,1934.2,2118,480.4,563.3
3456.3,4220.3,7697.9,8263.4,3983.3,4095.3,5941.8,5492.8,1649.3,1707.6,4203.1,3965,1535.2,1727,822.8,613.4
4978.6,5032.1,8561.2,7441.6,4203.7,3923.3,5864.3,5832.8,2262.2,1779.3,4898.5,5082.3,1867.2,2202.8,736.9,736.1
7615.6,5404.2,8425.2,7459.7,4498.2,4519,6858.8,6696.6,1737.2,1906.1,4553,4988.2,1875.3,2221.9,503,646.5
5828.6,5063.5,6932.6,6354.1,4129.6,4280.4,5456.9,5165.2,1459.7,1601.5,3885.5,4085.5,1353.9,1519.1,695.1,602.3
8321.6,6029.2,7770.1,7406.6,3367.3,3844.3,6146.7,5657.3,1430,1498.1,2715.5,3934.5,1282.5,1591.6,796.2,678.1
5531.6,6092.1,8087.6,7346.5,3596.6,3912.9,5996.2,5630,1522.8,1685,4324.1,4232.5,1859.9,2205.3,714,875.7
4490,4115.3,8070.4,7851.6,3881,4055.6,6981.8,6932.3,1900.2,1895.9,4974.2,4789.6,1749.9,2006.1,734.6,749.9
16793.5,11173.8,8565.2,7455.8,4666.5,4731.4,7650.9,7065.3,1829.1,1710,4465.8,4724.6,2025.2,2424.5,736.8,813.9
3605.9,3817.8,6310.6,5339.8,3192.2,3276.8,4111,4404.2,1154.4,1288.7,3316.9,3657,1216.1,1425.7,434.9,500.4
5196.7,4552.9,6194.8,6137.9,2832.7,3091.6,6466.5,6050.2,1446.9,1484,3854.3,3979.6,1532.1,1485.5,720,655.1
6090.6,6357.9,8696.1,7943.6,3721.7,3792.1,5991.3,7179.2,2090.4,1686.7,4861.3,4649,2129.3,2226.8,695.9,995
8443.8,7647.4,7646,7446.5,3980.6,4101.3,6112.2,6619.8,1467.1,1656.7,3844.7,4538.3,1597,1554.1,710.8,838.5
8664.7,5377.4,8226.7,7132.6,3591.4,3646.9,5836.8,6536.8,1396.1,1564.4,4521.9,4772.5,1651.2,1686.8,518,656.9
6690.9,6153.8,8556.9,8412.1,3916.9,3901.1,6577,6234.2,1568.6,1811.8,3859.1,3677.8,1627,1738.7,816.9,763.3
6486.4,5200.7,7057.6,5784.8,3267.4,3528.3,4674.9,5073.4,1119.8,1421,4000,4275.7,1677.6,1724.9,594,566.3
4811.2,3462,8364.8,7351.2,4163.2,3806.5,6662.3,6310.3,1842.5,1506.7,5708.7,5813.9,2120,2236.2,741.1,674.2
8880.1,5368.5,7718,7126,3561.9,3704.7,6222.1,5729.1,1768.3,1626.5,4150.7,4414.7,1693.2,1819,620,605.8
8342.1,8857.8,7765.1,7626.7,4850.4,5013.9,6959.1,6778.5,2102.3,1878.5,4288.8,4326.7,1499.6,1671.6,910.4,814.1
5865.7,5429.3,8448.7,7806,3265.9,3477.6,6115.7,5613.5,1492.1,1558.9,3902.2,4100.9,1391.3,1899.4,702.4,646.9
4799.8,4297.3,8265.9,7622.6,3677,3708.8,6299.4,6392.6,1929.3,1856.1,4166.2,4583.6,1797.4,2139.9,710.1,890.7
5046.5,5229.5,8156.1,6683.7,4028.2,4048.6,5814.5,5762.1,1782.5,1748.4,4489.7,4914.2,1670,1897.6,615.3,655.8
9085.7,7898.1,9253.5,8403.8,4125.4,4341.8,6789.4,6543.1,2105.7,2275.9,4257.1,4043.4,1537.4,1871.1,881.8,725.9
4791.7,5400.1,9066.1,8156.1,4117,4298.5,7660.2,7234.7,1437.5,1989.7,4328.9,4178.5,1697.2,1759.5,799.2,702.3
16863.7,11201.6,6551.6,6039.5,3815.4,3932.7,6640.7,6144.5,1593.5,1453.6,3183.4,4234.7,1558.1,1661.9,573.8,733.1
5178.1,3744,7463.3,7303.4,3557.4,3550.4,5915.5,5298.5,1690.7,1712.6,4135.6,4385,1471.8,1658.6,653.7,603.6
3827.8,2624.2,7998,6902.1,3408.1,3229.5,6290.4,5657.9,1440.8,1605.9,4189.2,4474,1552.8,1912.9,605.9,758.1
5022.5,5634.8,7331.6,7501.5,3889,4231.2,5493,5220.2,1278.5,1644.5,4051.6,4141.1,1567.2,1564.5,842.3,783.2
9065.3,8936,6441.9,6219.9,4078.3,4251.1,6716.3,6479.7,1699.3,1696.7,3921.3,4003.1,1449.1,1581,671.8,649.4
3232.7,3104.2,7427,6653.5,3021.4,3065.1,6208.4,5870,1624.2,1663.3,4070.8,4136.7,2080.3,2043.1,645.5,640.2
4743,5486.3,7918.9,7376,4145.6,4434.4,6905.5,6291.6,1775.7,1694,4416.8,4224.8,1617.1,1780.4,803.8,781.5
6412.2,6119.4,8785.6,7831.6,3526,3836.8,6014,6271.1,1546.5,1577.1,4404.1,4798.5,1809.5,2082.4,858.6,725
6631.8,6452,7725.1,7186.9,3554,3971.8,5896.2,5705.5,1559,1595.1,4151.8,4251.8,1590.4,1661.4,677.2,637.1
4761.9,5160.2,6196.3,6232.5,3910.7,4189.5,6611.1,6627.2,1577.1,1569.4,3133.2,3643.3,1543.3,1586.6,757.6,689.9
4867.9,6002.3,8947,7256.5,3019.4,3008.7,3618.7,4005.1,1033.6,1150.3,4690.2,4488.7,1596.6,1741.6,416.1,377.2
10730.1,7330.8,7711.6,7383.9,4038.7,4289.6,6207.3,5744.5,1623.7,1673.5,3406,3943.7,1697.2,1876.9,716.1,672.7
4614.9,4446.4,7947.9,8244.4,2986.8,3293.5,4969.6,4326.5,829,1062.3,3674.9,3462.3,1475.3,1356.7,607.9,522
2919.7,3423.5,7033.3,5669.2,2229,2186,4887,5138.6,834.2,1189.1,4427.3,4352.2,1953,1868.1,430.5,526.9
2975.2,3354,7644.7,6385.4,3175.1,3239.7,5189.4,5202.1,1681,1571.1,4446.1,4638.6,1523.2,2015.2,477.6,688.3
23676.3,NA,4910.7,4595.5,2959.6,3132.8,4471.4,4328.4,1142.2,1138.2,2937,3002.3,1368.4,1456.4,583.1,606.4
3606.5,4594.1,6690.7,6334.7,3327.7,3495.5,5472.6,5413.1,1427,1352.2,3763.6,3824.6,1368.8,1430.2,675.5,671.9
9274.6,10286.5,5927.5,5075.8,3252.2,3168.7,5118.1,5095.7,1093.8,1132.3,3956.4,4170.3,1515.9,1931.7,458.8,623.5
